,Province,County,Month_end_day,year_tr,semester_tr,monthly_tr,yearly_sales,semester_sales,monthly_sales,p50_12mo_sales,p50_6mo_sales,p50_3mo_sales,p50_12mo_sales_chng,p50_3mo_sales_chng,p25_12mo_sales,p75_12mo_sales
0,Ulster,Cavan,2014-01-31,,,30,$nan,$nan,"$2,169,250.00","$60,500.00","$60,500.00","$60,500.00",nan%,nan%,"$35,000.00","$91,750.00"
1,Ulster,Cavan,2014-02-28,,,31,$nan,$nan,"$2,627,000.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
2,Ulster,Cavan,2014-03-31,,,41,$nan,$nan,"$3,855,860.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
3,Ulster,Cavan,2014-04-30,,,34,$nan,$nan,"$3,023,583.00",$nan,$nan,"$70,000.00",nan%,15.70%,$nan,$nan
4,Ulster,Cavan,2014-05-31,,,37,$nan,$nan,"$3,744,500.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
5,Ulster,Cavan,2014-06-30,,203.0,30,$nan,"$18,128,593.00","$2,708,400.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
6,Ulster,Cavan,2014-07-31,,230.0,57,$nan,"$21,095,915.00","$5,136,572.00",$nan,"$75,000.00","$75,450.00",nan%,7.79%,$nan,$nan
7,Ulster,Cavan,2014-08-31,,247.0,48,$nan,"$22,340,915.00","$3,872,000.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
8,Ulster,Cavan,2014-09-30,,251.0,45,$nan,"$22,144,369.00","$3,659,314.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
9,Ulster,Cavan,2014-10-31,,263.0,46,$nan,"$22,633,086.00","$3,512,300.00",$nan,$nan,"$70,000.00",nan%,-7.22%,$nan,$nan
10,Ulster,Cavan,2014-11-30,,269.0,43,$nan,"$22,945,336.00","$4,056,750.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
11,Ulster,Cavan,2014-12-31,532.0,329.0,90,"$47,213,824.00","$29,085,231.00","$8,848,295.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
12,Ulster,Cavan,2015-01-31,556.0,326.0,54,"$50,403,324.00","$29,307,409.00","$5,358,750.00","$72,250.00","$72,000.00","$75,000.00",19.42%,7.14%,"$45,000.00","$116,625.00"
13,Ulster,Cavan,2015-02-28,565.0,318.0,40,"$51,143,074.00","$28,802,159.00","$3,366,750.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
14,Ulster,Cavan,2015-03-31,563.0,312.0,39,"$50,891,294.00","$28,746,925.00","$3,604,080.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
15,Ulster,Cavan,2015-04-30,577.0,314.0,48,"$52,635,972.18","$30,002,886.18","$4,768,261.18",$nan,$nan,"$75,000.00",nan%,0.00%,$nan,$nan
16,Ulster,Cavan,2015-05-31,578.0,309.0,38,"$52,814,472.18","$29,869,136.18","$3,923,000.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
17,Ulster,Cavan,2015-06-30,588.0,259.0,40,"$53,832,372.18","$24,747,141.18","$3,726,300.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
18,Ulster,Cavan,2015-07-31,576.0,250.0,45,"$55,364,550.18","$26,057,141.18","$6,668,750.00",$nan,"$76,000.00","$85,000.00",nan%,13.33%,$nan,$nan
19,Ulster,Cavan,2015-08-31,577.0,259.0,49,"$56,177,950.18","$27,375,791.18","$4,685,400.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
20,Ulster,Cavan,2015-09-30,584.0,272.0,52,"$57,006,516.18","$28,259,591.18","$4,487,880.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
21,Ulster,Cavan,2015-10-31,588.0,274.0,50,"$59,172,616.18","$29,169,730.00","$5,678,400.00",$nan,$nan,"$84,000.00",nan%,-1.18%,$nan,$nan
22,Ulster,Cavan,2015-11-30,601.0,292.0,56,"$60,703,158.18","$30,834,022.00","$5,587,292.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
23,Ulster,Cavan,2015-12-31,573.0,314.0,62,"$57,445,758.18","$32,698,617.00","$5,590,895.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
24,Ulster,Cavan,2016-01-31,561.0,311.0,42,"$57,013,008.18","$30,955,867.00","$4,926,000.00","$80,000.00","$85,000.00","$85,000.00",10.73%,1.19%,"$52,580.00","$130,000.00"
25,Ulster,Cavan,2016-02-29,546.0,287.0,25,"$55,761,508.18","$28,385,717.00","$2,115,250.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
26,Ulster,Cavan,2016-03-31,540.0,268.0,33,"$55,808,878.18","$27,549,287.00","$3,651,450.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
27,Ulster,Cavan,2016-04-30,531.0,257.0,39,"$54,774,167.00","$25,604,437.00","$3,733,550.00",$nan,$nan,"$75,000.00",nan%,-11.76%,$nan,$nan
28,Ulster,Cavan,2016-05-31,545.0,253.0,52,"$55,789,692.00","$24,955,670.00","$4,938,525.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
29,Ulster,Cavan,2016-06-30,549.0,235.0,44,"$56,597,842.00","$23,899,225.00","$4,534,450.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
30,Ulster,Cavan,2016-07-31,563.0,252.0,59,"$55,999,163.00","$25,043,296.00","$6,070,071.00",$nan,"$81,500.00","$88,000.00",nan%,17.33%,$nan,$nan
31,Ulster,Cavan,2016-08-31,570.0,283.0,56,"$57,543,263.00","$29,157,546.00","$6,229,500.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
32,Ulster,Cavan,2016-09-30,567.0,299.0,49,"$59,221,883.00","$31,672,596.00","$6,166,500.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
33,Ulster,Cavan,2016-10-31,573.0,316.0,56,"$59,445,627.50","$33,841,190.50","$5,902,144.50",$nan,$nan,"$95,000.00",nan%,7.95%,$nan,$nan
34,Ulster,Cavan,2016-11-30,572.0,319.0,55,"$60,538,339.50","$35,582,669.50","$6,680,004.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
35,Ulster,Cavan,2016-12-31,570.0,335.0,60,"$60,643,444.50","$36,744,219.50","$5,696,000.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
36,Ulster,Cavan,2017-01-31,570.0,318.0,42,"$61,655,119.22","$36,611,823.22","$5,937,674.72","$90,000.00","$99,000.00","$100,000.00",12.50%,5.26%,"$60,000.00","$145,000.00"
37,Ulster,Cavan,2017-02-28,585.0,302.0,40,"$64,880,869.22","$35,723,323.22","$5,341,000.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
38,Ulster,Cavan,2017-03-31,614.0,315.0,62,"$68,809,669.22","$37,137,073.22","$7,580,250.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
39,Ulster,Cavan,2017-04-30,614.0,298.0,39,"$68,944,069.22","$35,102,878.72","$3,867,950.00",$nan,$nan,"$95,000.00",nan%,-5.00%,$nan,$nan
40,Ulster,Cavan,2017-05-31,611.0,292.0,49,"$70,357,044.22","$34,774,374.72","$6,351,500.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
41,Ulster,Cavan,2017-06-30,624.0,289.0,57,"$73,830,594.22","$37,086,374.72","$8,008,000.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
42,Ulster,Cavan,2017-07-31,617.0,299.0,52,"$75,093,523.22","$38,481,700.00","$7,333,000.00",$nan,"$110,000.00","$118,000.00",nan%,24.21%,$nan,$nan
43,Ulster,Cavan,2017-08-31,607.0,305.0,46,"$75,310,023.22","$39,586,700.00","$6,446,000.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
44,Ulster,Cavan,2017-09-30,607.0,292.0,49,"$74,441,269.17","$37,304,195.95","$5,297,745.95",$nan,$nan,$nan,nan%,nan%,$nan,$nan
45,Ulster,Cavan,2017-10-31,604.0,306.0,53,"$75,579,719.67","$40,476,840.95","$7,040,595.00",$nan,$nan,"$106,250.00",nan%,-9.96%,$nan,$nan
46,Ulster,Cavan,2017-11-30,600.0,308.0,51,"$75,539,215.67","$40,764,840.95","$6,639,500.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
47,Ulster,Cavan,2017-12-31,596.0,307.0,56,"$77,247,655.67","$40,161,280.95","$7,404,440.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
48,Ulster,Cavan,2018-01-31,586.0,287.0,32,"$75,148,381.95","$36,666,681.95","$3,838,401.00","$110,000.00","$110,000.00","$125,000.00",22.22%,17.65%,"$67,125.00","$170,000.00"
49,Ulster,Cavan,2018-02-28,582.0,277.0,36,"$74,719,681.95","$35,132,981.95","$4,912,300.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
50,Ulster,Cavan,2018-03-31,566.0,274.0,46,"$72,304,164.95","$34,999,969.00","$5,164,733.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
51,Ulster,Cavan,2018-04-30,567.0,261.0,40,"$74,325,014.95","$33,848,174.00","$5,888,800.00",$nan,$nan,"$112,500.00",nan%,-10.00%,$nan,$nan
52,Ulster,Cavan,2018-05-31,560.0,252.0,42,"$73,074,514.95","$32,309,674.00","$5,101,000.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
53,Ulster,Cavan,2018-06-30,560.0,253.0,57,"$73,410,514.95","$33,249,234.00","$8,344,000.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
54,Ulster,Cavan,2018-07-31,560.0,273.0,52,"$73,448,744.95","$36,782,063.00","$7,371,230.00",$nan,"$115,000.00","$120,000.00",nan%,6.67%,$nan,$nan
55,Ulster,Cavan,2018-08-31,570.0,293.0,56,"$74,915,726.95","$39,782,745.00","$7,912,982.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
56,Ulster,Cavan,2018-09-30,578.0,304.0,57,"$76,521,481.00","$41,521,512.00","$6,903,500.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
57,Ulster,Cavan,2018-10-31,585.0,324.0,60,"$79,173,386.00","$45,325,212.00","$9,692,500.00",$nan,$nan,"$120,000.00",nan%,0.00%,$nan,$nan
58,Ulster,Cavan,2018-11-30,600.0,348.0,66,"$81,264,136.00","$48,954,462.00","$8,730,250.00",$nan,$nan,$nan,nan%,nan%,$nan,$nan
